TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.1
               TIME:                   X                   Z
                 5.1           0.0217372           -0.111247
                5.11           0.0216002           -0.111274
                5.12           0.0214628             -0.1113
                5.13           0.0213252           -0.111326
                5.14           0.0211872            -0.11135
                5.15            0.021049           -0.111374
                5.16           0.0209104           -0.111396
                5.17           0.0207716           -0.111418
                5.18           0.0206325           -0.111439
                5.19           0.0204932           -0.111459
                 5.2           0.0203536           -0.111478
                5.21           0.0202138           -0.111496
                5.22           0.0200738           -0.111513
                5.23           0.0199336            -0.11153
                5.24           0.0197932           -0.111546
                5.25           0.0196525            -0.11156
                5.26           0.0195118           -0.111574
                5.27           0.0193708           -0.111587
                5.28           0.0192297           -0.111599
                5.29           0.0190884            -0.11161
                 5.3            0.018947            -0.11162
                5.31           0.0188055            -0.11163
                5.32           0.0186639           -0.111638
                5.33           0.0185222           -0.111646
                5.34           0.0183804           -0.111653
                5.35           0.0182385           -0.111658
                5.36           0.0180965           -0.111663
                5.37           0.0179545           -0.111667
                5.38           0.0178125            -0.11167
                5.39           0.0176704           -0.111673
                 5.4           0.0175283           -0.111674
                5.41           0.0173862           -0.111674
                5.42            0.017244           -0.111674
                5.43           0.0171019           -0.111673
                5.44           0.0169598            -0.11167
                5.45           0.0168178           -0.111667
                5.46           0.0166758           -0.111663
                5.47           0.0165338           -0.111658
                5.48            0.016392           -0.111652
                5.49           0.0162501           -0.111646
                 5.5           0.0161084           -0.111638
                5.51           0.0159668           -0.111629
                5.52           0.0158253            -0.11162
                5.53           0.0156839            -0.11161
                5.54           0.0155427           -0.111598
                5.55           0.0154016           -0.111586
                5.56           0.0152606           -0.111573
                5.57           0.0151198            -0.11156
                5.58           0.0149792           -0.111545
                5.59           0.0148388           -0.111529
                 5.6           0.0146986           -0.111513
                5.61           0.0145586           -0.111495
                5.62           0.0144188           -0.111477
                5.63           0.0142792           -0.111458
                5.64           0.0141399           -0.111438
                5.65           0.0140008           -0.111417
                5.66            0.013862           -0.111395
                5.67           0.0137235           -0.111372
                5.68           0.0135853           -0.111349
                5.69           0.0134473           -0.111324
                 5.7           0.0133097           -0.111299
                5.71           0.0131724           -0.111273
                5.72           0.0130354           -0.111246
                5.73           0.0128988           -0.111218
                5.74           0.0127625           -0.111189
                5.75           0.0126265            -0.11116
                5.76            0.012491           -0.111129
                5.77           0.0123558           -0.111098
                5.78            0.012221           -0.111066
                5.79           0.0120866           -0.111033
                 5.8           0.0119526           -0.110999
                5.81           0.0118191           -0.110964
                5.82            0.011686           -0.110929
                5.83           0.0115533           -0.110892
                5.84           0.0114211           -0.110855
                5.85           0.0112894           -0.110817
                5.86           0.0111581           -0.110778
                5.87           0.0110273           -0.110738
                5.88            0.010897           -0.110698
                5.89           0.0107672           -0.110657
                 5.9            0.010638           -0.110614
                5.91           0.0105092           -0.110571
                5.92            0.010381           -0.110528
                5.93           0.0102534           -0.110483
                5.94           0.0101263           -0.110438
                5.95          0.00999972           -0.110391
                5.96          0.00987376           -0.110344
                5.97          0.00974838           -0.110296
                5.98          0.00962361           -0.110248
                5.99          0.00949943           -0.110199
                   6          0.00937588           -0.110148
                6.01          0.00925294           -0.110097
                6.02          0.00913064           -0.110046
                6.03          0.00900899           -0.109993
                6.04          0.00888799            -0.10994
                6.05          0.00876765           -0.109886
                6.06          0.00864798           -0.109831
                6.07          0.00852899           -0.109776
                6.08           0.0084107           -0.109719
                6.09           0.0082931           -0.109662
                 6.1          0.00817621           -0.109604
                6.11          0.00806005           -0.109546
                6.12           0.0079446           -0.109487
                6.13           0.0078299           -0.109427
                6.14          0.00771593           -0.109366
                6.15          0.00760273           -0.109305
                6.16          0.00749028           -0.109242
                6.17          0.00737861            -0.10918
                6.18          0.00726771           -0.109116
                6.19           0.0071576           -0.109052
                 6.2          0.00704829           -0.108987
                6.21          0.00693979           -0.108921
                6.22           0.0068321           -0.108855
                6.23          0.00672523           -0.108788
                6.24          0.00661919            -0.10872
                6.25            0.006514           -0.108652
                6.26          0.00640964           -0.108583
                6.27          0.00630615           -0.108513
                6.28          0.00620351           -0.108443
                6.29          0.00610175           -0.108372
                 6.3          0.00600087             -0.1083
                6.31          0.00590087           -0.108228
                6.32          0.00580177           -0.108155
                6.33          0.00570356           -0.108081
                6.34          0.00560627           -0.108007
                6.35           0.0055099           -0.107932
                6.36          0.00541445           -0.107857
                6.37          0.00531993           -0.107781
                6.38          0.00522635           -0.107704
                6.39          0.00513372           -0.107627
                 6.4          0.00504205           -0.107549
                6.41          0.00495133           -0.107471
                6.42          0.00486158           -0.107392
                6.43          0.00477281           -0.107313
                6.44          0.00468501           -0.107233
                6.45          0.00459821           -0.107152
                6.46           0.0045124           -0.107071
                6.47           0.0044276           -0.106989
                6.48           0.0043438           -0.106907
                6.49          0.00426101           -0.106824
                 6.5          0.00417925           -0.106741
                6.51          0.00409852           -0.106657
                6.52          0.00401882           -0.106573
                6.53          0.00394016           -0.106488
                6.54          0.00386254           -0.106402
                6.55          0.00378598           -0.106317
                6.56          0.00371048            -0.10623
                6.57          0.00363603           -0.106143
                6.58          0.00356266           -0.106056
                6.59          0.00349037           -0.105968
                 6.6          0.00341915            -0.10588
                6.61          0.00334902           -0.105791
                6.62          0.00327999           -0.105702
                6.63          0.00321205           -0.105613
                6.64          0.00314521           -0.105523
                6.65          0.00307948           -0.105432
                6.66          0.00301486           -0.105342
                6.67          0.00295136            -0.10525
                6.68          0.00288898           -0.105159
                6.69          0.00282773           -0.105067
                 6.7          0.00276761           -0.104974
                6.71          0.00270862           -0.104881
                6.72          0.00265078           -0.104788
                6.73          0.00259409           -0.104694
                6.74          0.00253854             -0.1046
                6.75          0.00248414           -0.104506
                6.76          0.00243091           -0.104411
                6.77          0.00237884           -0.104316
                6.78          0.00232793           -0.104221
                6.79           0.0022782           -0.104125
                 6.8          0.00222963           -0.104029
                6.81          0.00218225           -0.103933
                6.82          0.00213605           -0.103837
                6.83          0.00209103            -0.10374
                6.84           0.0020472           -0.103642
                6.85          0.00200456           -0.103545
                6.86          0.00196312           -0.103447
                6.87          0.00192288           -0.103349
                6.88          0.00188384           -0.103251
                6.89            0.001846           -0.103152
                 6.9          0.00180937           -0.103053
                6.91          0.00177395           -0.102954
                6.92          0.00173974           -0.102855
                6.93          0.00170675           -0.102756
                6.94          0.00167497           -0.102656
                6.95          0.00164442           -0.102556
                6.96          0.00161509           -0.102456
                6.97          0.00158698           -0.102356
                6.98           0.0015601           -0.102255
                6.99          0.00153445           -0.102154
                   7          0.00151004           -0.102054
                7.01          0.00148685           -0.101953
                7.02           0.0014649           -0.101851
                7.03          0.00144418            -0.10175
                7.04          0.00142471           -0.101649
                7.05          0.00140647           -0.101547
                7.06          0.00138948           -0.101445
                7.07          0.00137372           -0.101344
                7.08          0.00135921           -0.101242
                7.09          0.00134595            -0.10114
                 7.1          0.00133393           -0.101037
                7.11          0.00132316           -0.100935
                7.12          0.00131363           -0.100833
                7.13          0.00130535           -0.100731
                7.14          0.00129832           -0.100628
                7.15          0.00129254           -0.100526
                7.16          0.00128801           -0.100423
                7.17          0.00128473            -0.10032
                7.18           0.0012827           -0.100218
                7.19          0.00128192           -0.100115
                 7.2           0.0012824           -0.100013
